name,cate,dist,dire
m4_200m_right_0002.mp3,m4,200m,right
m4_600m_right_0003.mp3,m4,600m,right
m4_600m_left_0006.mp3,m4,600m,left
ak_50m_left_0007.mp3,ak,50m,left
m4_100m_back_0009.mp3,m4,100m,back
m4_400m_left_0012.mp3,m4,400m,left
m4_400m_back_0014.mp3,m4,400m,back
ak_200m_front_0015.mp3,ak,200m,front
ak_100m_left_0018.mp3,ak,100m,left
ak_50m_right_0021.mp3,ak,50m,right
nogun_None_None_0025.mp3,nogun,None,None
ak_50m_front_0028.mp3,ak,50m,front
ak_400m_back_0029.mp3,ak,400m,back
ak_100m_back_0031.mp3,ak,100m,back
nogun_None_None_0032.mp3,nogun,None,None
m4_600m_left_0037.mp3,m4,600m,left
m4_200m_front_0040.mp3,m4,200m,front
ak_50m_front_0046.mp3,ak,50m,front
ak_400m_back_0047.mp3,ak,400m,back
ak_100m_right_0048.mp3,ak,100m,right
ak_200m_right_0049.mp3,ak,200m,right
m4_50m_left_0050.mp3,m4,50m,left
m4_600m_right_0054.mp3,m4,600m,right
ak_100m_back_0056.mp3,ak,100m,back
ak_400m_back_0059.mp3,ak,400m,back
ak_600m_left_0060.mp3,ak,600m,left
m4_100m_front_0062.mp3,m4,100m,front
m4_600m_back_0063.mp3,m4,600m,back
m4_400m_back_0065.mp3,m4,400m,back
m4_400m_back_0068.mp3,m4,400m,back
m4_400m_right_0069.mp3,m4,400m,right
ak_200m_right_0070.mp3,ak,200m,right
ak_600m_front_0071.mp3,ak,600m,front
m4_400m_front_0072.mp3,m4,400m,front
ak_50m_back_0075.mp3,ak,50m,back
nogun_None_None_0078.mp3,nogun,None,None
m4_400m_back_0081.mp3,m4,400m,back
m4_200m_right_0083.mp3,m4,200m,right
m4_100m_right_0084.mp3,m4,100m,right
m4_200m_right_0085.mp3,m4,200m,right
m4_50m_right_0088.mp3,m4,50m,right
ak_200m_left_0089.mp3,ak,200m,left
m4_50m_back_0090.mp3,m4,50m,back
m4_100m_front_0093.mp3,m4,100m,front
m4_600m_back_0094.mp3,m4,600m,back
ak_50m_front_0095.mp3,ak,50m,front
m4_200m_front_0098.mp3,m4,200m,front
ak_200m_back_0099.mp3,ak,200m,back
ak_600m_right_0100.mp3,ak,600m,right
ak_400m_front_0104.mp3,ak,400m,front
m4_100m_front_0108.mp3,m4,100m,front
ak_50m_left_0109.mp3,ak,50m,left
m4_200m_left_0111.mp3,m4,200m,left
ak_200m_front_0114.mp3,ak,200m,front
ak_200m_left_0115.mp3,ak,200m,left
m4_50m_right_0116.mp3,m4,50m,right
ak_200m_left_0117.mp3,ak,200m,left
m4_600m_right_0119.mp3,m4,600m,right
ak_400m_right_0120.mp3,ak,400m,right
ak_100m_back_0125.mp3,ak,100m,back
ak_100m_right_0126.mp3,ak,100m,right
m4_200m_back_0130.mp3,m4,200m,back
ak_400m_front_0131.mp3,ak,400m,front
ak_200m_back_0132.mp3,ak,200m,back
ak_400m_back_0133.mp3,ak,400m,back
m4_100m_front_0136.mp3,m4,100m,front
ak_100m_back_0139.mp3,ak,100m,back
nogun_None_None_0141.mp3,nogun,None,None
ak_400m_right_0142.mp3,ak,400m,right
nogun_None_None_0143.mp3,nogun,None,None
m4_100m_back_0144.mp3,m4,100m,back
m4_50m_front_0145.mp3,m4,50m,front
ak_400m_right_0146.mp3,ak,400m,right
ak_100m_left_0147.mp3,ak,100m,left
