name,cate,dist,dire
ump_0m_center_0001.mp3,ump,0m,center
m4_200m_right_0002.mp3,m4,200m,right
m4_600m_right_0003.mp3,m4,600m,right
r1895_0m_center_0004.mp3,r1895,0m,center
m4_600m_left_0006.mp3,m4,600m,left
ak_50m_left_0007.mp3,ak,50m,left
vss_0m_center_0008.mp3,vss,0m,center
m4_100m_back_0009.mp3,m4,100m,back
r1895_0m_center_0010.mp3,r1895,0m,center
aug_0m_center_0011.mp3,aug,0m,center
m4_400m_left_0012.mp3,m4,400m,left
uzi_0m_center_0013.mp3,uzi,0m,center
m4_400m_back_0014.mp3,m4,400m,back
ak_200m_front_0015.mp3,ak,200m,front
m249_0m_center_0016.mp3,m249,0m,center
g36c_0m_center_0017.mp3,g36c,0m,center
ak_100m_left_0018.mp3,ak,100m,left
m24_0m_center_0019.mp3,m24,0m,center
ak_50m_right_0021.mp3,ak,50m,right
r45_0m_center_0023.mp3,r45,0m,center
dbs_0m_center_0027.mp3,dbs,0m,center
ak_50m_front_0028.mp3,ak,50m,front
ak_400m_back_0029.mp3,ak,400m,back
p18c_0m_center_0030.mp3,p18c,0m,center
ak_100m_back_0031.mp3,ak,100m,back
nogun_None_None_0032.mp3,nogun,None,None
p90_0m_center_0033.mp3,p90,0m,center
mk_0m_center_0034.mp3,mk,0m,center
ump_0m_center_0035.mp3,ump,0m,center
vec_0m_center_0036.mp3,vec,0m,center
m4_600m_left_0037.mp3,m4,600m,left
m4_200m_front_0040.mp3,m4,200m,front
tomy_0m_center_0042.mp3,tomy,0m,center
m24_0m_center_0045.mp3,m24,0m,center
ak_50m_front_0046.mp3,ak,50m,front
ak_400m_back_0047.mp3,ak,400m,back
ak_100m_right_0048.mp3,ak,100m,right
ak_200m_right_0049.mp3,ak,200m,right
m4_50m_left_0050.mp3,m4,50m,left
slr_0m_center_0051.mp3,slr,0m,center
r45_0m_center_0052.mp3,r45,0m,center
m249_0m_center_0053.mp3,m249,0m,center
m4_600m_right_0054.mp3,m4,600m,right
uzi_0m_center_0055.mp3,uzi,0m,center
ak_100m_back_0056.mp3,ak,100m,back
pump_0m_center_0057.mp3,pump,0m,center
awm_0m_center_0058.mp3,awm,0m,center
ak_400m_back_0059.mp3,ak,400m,back
ak_600m_left_0060.mp3,ak,600m,left
m4_100m_front_0062.mp3,m4,100m,front
m4_600m_back_0063.mp3,m4,600m,back
qbz_0m_center_0064.mp3,qbz,0m,center
m4_400m_back_0065.mp3,m4,400m,back
scar_0m_center_0067.mp3,scar,0m,center
m4_400m_back_0068.mp3,m4,400m,back
m4_400m_right_0069.mp3,m4,400m,right
ak_200m_right_0070.mp3,ak,200m,right
ak_600m_front_0071.mp3,ak,600m,front
m4_400m_front_0072.mp3,m4,400m,front
p18c_0m_center_0073.mp3,p18c,0m,center
g36c_0m_center_0074.mp3,g36c,0m,center
ak_50m_back_0075.mp3,ak,50m,back
mk_0m_center_0076.mp3,mk,0m,center
nogun_None_None_0078.mp3,nogun,None,None
slr_0m_center_0079.mp3,slr,0m,center
m249_0m_center_0080.mp3,m249,0m,center
m4_400m_back_0081.mp3,m4,400m,back
m4_200m_right_0083.mp3,m4,200m,right
m4_100m_right_0084.mp3,m4,100m,right
m4_200m_right_0085.mp3,m4,200m,right
vss_0m_center_0086.mp3,vss,0m,center
s12k_0m_center_0087.mp3,s12k,0m,center
m4_50m_right_0088.mp3,m4,50m,right
ak_200m_left_0089.mp3,ak,200m,left
m4_50m_back_0090.mp3,m4,50m,back
verl_0m_center_0091.mp3,verl,0m,center
gro_0m_center_0092.mp3,gro,0m,center
m4_100m_front_0093.mp3,m4,100m,front
m4_600m_back_0094.mp3,m4,600m,back
ak_50m_front_0095.mp3,ak,50m,front
g36c_0m_center_0096.mp3,g36c,0m,center
p90_0m_center_0097.mp3,p90,0m,center
m4_200m_front_0098.mp3,m4,200m,front
ak_200m_back_0099.mp3,ak,200m,back
ak_600m_right_0100.mp3,ak,600m,right
slr_0m_center_0101.mp3,slr,0m,center
gro_0m_center_0102.mp3,gro,0m,center
m24_0m_center_0103.mp3,m24,0m,center
ak_400m_front_0104.mp3,ak,400m,front
r45_0m_center_0105.mp3,r45,0m,center
vss_0m_center_0106.mp3,vss,0m,center
p90_0m_center_0107.mp3,p90,0m,center
m4_100m_front_0108.mp3,m4,100m,front
ak_50m_left_0109.mp3,ak,50m,left
m16_0m_center_0110.mp3,m16,0m,center
m4_200m_left_0111.mp3,m4,200m,left
deagle_0m_center_0112.mp3,deagle,0m,center
qbz_0m_center_0113.mp3,qbz,0m,center
ak_200m_front_0114.mp3,ak,200m,front
ak_200m_left_0115.mp3,ak,200m,left
m4_50m_right_0116.mp3,m4,50m,right
ak_200m_left_0117.mp3,ak,200m,left
tomy_0m_center_0118.mp3,tomy,0m,center
m4_600m_right_0119.mp3,m4,600m,right
ak_400m_right_0120.mp3,ak,400m,right
uzi_0m_center_0121.mp3,uzi,0m,center
awm_0m_center_0122.mp3,awm,0m,center
ak_100m_back_0125.mp3,ak,100m,back
ak_100m_right_0126.mp3,ak,100m,right
r1895_0m_center_0128.mp3,r1895,0m,center
m4_200m_back_0130.mp3,m4,200m,back
ak_400m_front_0131.mp3,ak,400m,front
ak_200m_back_0132.mp3,ak,200m,back
ak_400m_back_0133.mp3,ak,400m,back
dbs_0m_center_0135.mp3,dbs,0m,center
m4_100m_front_0136.mp3,m4,100m,front
pump_0m_center_0138.mp3,pump,0m,center
ak_100m_back_0139.mp3,ak,100m,back
r45_0m_center_0140.mp3,r45,0m,center
nogun_None_None_0141.mp3,nogun,None,None
ak_400m_right_0142.mp3,ak,400m,right
nogun_None_None_0143.mp3,nogun,None,None
m4_100m_back_0144.mp3,m4,100m,back
m4_50m_front_0145.mp3,m4,50m,front
ak_400m_right_0146.mp3,ak,400m,right
ak_100m_left_0147.mp3,ak,100m,left
p92_0m_center_0148.mp3,p92,0m,center
